asin,title,units_sold,return_rate,small_sample,raw_unsellable_units,unsellable_after_inspection_units,units,share_of_returns,fee_reconciled_units,net_transaction_cost,mean_transaction_cost,median_transaction_cost,basis_known_units,basis_missing_units,known_inventory_basis,average_known_basis,known_reimbursements,known_recovery_proceeds,known_inventory_impairment,unknown_impairment_units,known_economic_loss_components,known_components_per_observed_return,known_components_per_sold_game,known_basis_with_unknown_recovery,zero_recovery_known_components
B07DQ43VFQ,NBA 2K19 - Nintendo Switch [Nintendo Switch],6,0.16666666666666666,True,0,0,1,0.010101010101010102,1,4.59,4.59,4.59,1,0,18.33,18.33,0,,0,0,4.59,4.59,0.002045454545454545454545454545,0,4.59
B07HFMJ4R5,Minecraft: Starter Collection - Xbox One [Xbox One],48,0.08333333333333333,False,1,1,4,0.04040404040404041,4,18.87,4.7175,4.535,4,0,93.96,23.49,0,,0,1,18.87,4.7175,0.008409090909090909090909090909,23.49,42.36
B07L6PV2GJ,Katamari Damacy Reroll - Nintendo Switch [Nintendo Switch],3,0.3333333333333333,True,1,1,1,0.010101010101010102,1,4.74,4.74,4.74,0,1,0,,0,,0,1,4.74,4.74,0.002112299465240641711229946524,0,4.74
B07RP42TMG,Tom Clancy's Ghost Recon Breakpoint - Xbox One [Xbox One],4,0.25,True,0,0,1,0.010101010101010102,1,3.98,3.98,3.98,0,1,0,,0,,0,0,3.98,3.98,0.001773618538324420677361853832,0,3.98
B07SSD8V81,Baldur's Gate: Enhanced Edition - Xbox One [Xbox One],2,0.5,True,1,0,1,0.010101010101010102,1,6.81,6.81,6.81,0,1,0,,0,,0,0,6.81,6.81,0.003034759358288770053475935829,0,6.81
B07VWCR94W,WWE 2K20 - PlayStation 4 [PlayStation 4],10,0.1,True,0,0,1,0.010101010101010102,1,4.58,4.58,4.58,1,0,16.19,16.19,0,,0,0,4.58,4.58,0.002040998217468805704099821747,0,4.58
B07X35GXG3,Nighthawk Interactive Disney Classic Games: Aladdin and The Lion King - Nintendo Switch,5,0.2,True,1,1,1,0.010101010101010102,1,4.35,4.35,4.35,0,1,0,,0,,0,1,4.35,4.35,0.001938502673796791443850267380,0,4.35
B07XGW61PX,Plants Vs. Zombies: Battle for Neighborville - Xbox One [Xbox One],13,0.07692307692307693,True,0,0,1,0.010101010101010102,1,4.27,4.27,4.27,1,0,13.87,13.87,0,,0,0,4.27,4.27,0.001902852049910873440285204991,0,4.27
B07YFF2KWG,The Sims 4 Plus Island Living Bundle - PlayStation 4 [PlayStation 4],4,0.25,True,0,0,1,0.010101010101010102,1,4.40,4.40,4.40,0,1,0,,0,,0,0,4.40,4.40,0.001960784313725490196078431373,0,4.40
B082QL63JB,Fast & Furious Crossroads - Xbox One [Xbox One],10,0.1,True,0,0,1,0.010101010101010102,1,4.30,4.30,4.30,0,1,0,,0,,0,0,4.30,4.30,0.001916221033868092691622103387,0,4.30
B085PS9F4H,Persona 5 Royal: Standard Edition - PlayStation 4 [PlayStation 4],2,0.5,True,1,1,1,0.010101010101010102,1,5.04,5.04,5.04,0,1,0,,0,,0,1,5.04,5.04,0.002245989304812834224598930481,0,5.04
B089DFJJGR,Madden NFL 21 - PlayStation 4 [PlayStation 4],9,0.1111111111111111,True,1,1,1,0.010101010101010102,1,3.67,3.67,3.67,0,1,0,,0,,0,1,3.67,3.67,0.001635472370766488413547237077,0,3.67
B08JJ37XVW,Monster Hunter Rise - Nintendo Switch Standard Edition [Nintendo Switch],12,0.16666666666666666,True,1,1,2,0.020202020202020204,2,9.32,4.66,4.66,2,0,32.94,16.47,0,,0,1,9.32,4.66,0.004153297682709447415329768271,16.47,25.79
B08MG4PK68,Hitman 3 for Xbox One & Xbox Series X [Xbox One],10,0.1,True,0,0,1,0.010101010101010102,1,5.36,5.36,5.36,0,1,0,,0,,0,0,5.36,5.36,0.002388591800356506238859180036,0,5.36
B08NDYPWK7,DEATHLOOP Standard Edition - PlayStation 5 [PlayStation 5],8,0.125,True,0,0,1,0.010101010101010102,1,4.49,4.49,4.49,1,0,14.29,14.29,0,,0,0,4.49,4.49,0.002000891265597147950089126560,0,4.49
B08NMQNSX3,Madden NFL 21 Next Level Edition - PlayStation 5 [PlayStation 5],11,0.18181818181818182,True,0,0,2,0.020202020202020204,2,7.76,3.88,3.88,0,2,0,,0,,0,0,7.76,3.88,0.003458110516934046345811051693,0,7.76
B08PCN2Y3G,Monster Energy Supercross 4 - PlayStation 5 [PlayStation 5],3,0.3333333333333333,True,0,0,1,0.010101010101010102,1,4.26,4.26,4.26,1,0,13.99,13.99,0,,0,0,4.26,4.26,0.001898395721925133689839572193,0,4.26
B08X8NTNYY,Tony Hawk Pro Skater 1+2 - Xbox Series X Standard Edition [Xbox Series X],3,0.3333333333333333,True,1,1,1,0.010101010101010102,1,4.67,4.67,4.67,1,0,16.44,16.44,0,,0,1,4.67,4.67,0.002081105169340463458110516934,16.44,21.11
B097FP294Y,Aliens Fireteam Elite - PlayStation 5 [PlayStation 5],9,0.1111111111111111,True,1,1,1,0.010101010101010102,0,0,,,1,0,20.18,20.18,0,,0,1,0,0,0,20.18,20.18
B09D643D8F,Call of Duty: Vanguard [PlayStation 5],16,0.125,True,1,1,2,0.020202020202020204,2,10.63,5.315,5.315,1,1,20.00,20.00,0,,0,1,10.63,5.315,0.004737076648841354723707664884,0,10.63
B0B359B45Q,Little League World Series PS4 [PlayStation 4],11,0.09090909090909091,True,1,1,1,0.010101010101010102,0,0,,,1,0,21.56,21.56,0,,0,1,0,0,0,21.56,21.56
B0B3GHCTQB,Call of Duty: Modern Warfare II - PlayStation 4 [PlayStation 4],10,0.1,True,1,1,1,0.010101010101010102,1,4.69,4.69,4.69,0,1,0,,0,,0,1,4.69,4.69,0.002090017825311942959001782531,0,4.69
B0B57TXPTH,PAC-MAN World Re-PAC - PlayStation 4 [PlayStation 4],17,0.058823529411764705,True,0,0,1,0.010101010101010102,0,0,,,1,0,14.92,14.92,0,,0,0,0,0,0,0,0
B0B8JH4CTN,World of Outlaws - Dirt Racing [Xbox Series X],12,0.08333333333333333,True,0,0,1,0.010101010101010102,1,5.34,5.34,5.34,1,0,23.37,23.37,0,,0,0,5.34,5.34,0.002379679144385026737967914439,0,5.34
B0BBXD3P63,God of Rock (PS5) [PlayStation 5],9,0.1111111111111111,True,0,0,1,0.010101010101010102,1,5.26,5.26,5.26,1,0,23.99,23.99,0,,0,0,5.26,5.26,0.002344028520499108734402852050,0,5.26
B0BDT4CQJD,Fortnite - Anime Legends- PlayStation 4 [PlayStation 4],7,0.14285714285714285,True,1,1,1,0.010101010101010102,1,4.91,4.91,4.91,1,0,29.74,29.74,0,,0,1,4.91,4.91,0.002188057040998217468805704100,29.74,34.65
B0BP5CKT2F,Star Wars Jedi: Survivor Deluxe - Xbox Series X [Xbox Series X],5,0.2,True,0,0,1,0.010101010101010102,1,5.52,5.52,5.52,1,0,18.00,18.00,0,,0,0,5.52,5.52,0.002459893048128342245989304813,0,5.52
B0BPPQWQW2,Diablo IV - PlayStation 4 [PlayStation 4],8,0.125,True,0,0,1,0.010101010101010102,1,4.40,4.40,4.40,0,1,0,,0,,0,0,4.40,4.40,0.001960784313725490196078431373,0,4.40
B0C7PN2L5V,Starfield: Standard Edition - Xbox Series X [Xbox Series X],22,0.09090909090909091,True,0,0,2,0.020202020202020204,2,9.92,4.96,4.96,0,2,0,,40.20,,0,0,-30.28,-15.14,-0.01349376114081996434937611408,0,-30.28
B0C9VW1KGR,EA SPORTS FC 24 - Nintendo Switch [Nintendo Switch],12,0.08333333333333333,True,0,0,1,0.010101010101010102,1,4.28,4.28,4.28,0,1,0,,0,,0,0,4.28,4.28,0.001907308377896613190730837790,0,4.28
B0CFTFG12B,Call of Duty Modern Warfare III - Xbox [Xbox Series X],23,0.043478260869565216,True,1,1,1,0.010101010101010102,1,4.79,4.79,4.79,0,1,0,,0,,0,1,4.79,4.79,0.002134581105169340463458110517,0,4.79
B0CGY48TGT,EA SPORTS WRC - Xbox Series X [Xbox Series X],5,0.2,True,0,0,1,0.010101010101010102,1,4.42,4.42,4.42,1,0,16.92,16.92,0,,0,0,4.42,4.42,0.001969696969696969696969696970,0,4.42
B0CTKX44NG,MLB The Show 24 - Nintendo Switch [Nintendo Switch],12,0.16666666666666666,True,0,0,2,0.020202020202020204,1,6.22,6.22,6.22,2,0,69.35,34.675,0,,0,0,6.22,3.11,0.002771836007130124777183600713,0,6.22
B0CWN5YJWR,Shin Megami Tensei V: Vengeance Steelbook Launch Edition - Nintendo Switch [Nintendo Switch],1,1.0,True,0,0,1,0.010101010101010102,1,5.52,5.52,5.52,0,1,0,,0,,0,0,5.52,5.52,0.002459893048128342245989304813,0,5.52
B0D3P4HV27,Madden NFL 25 - Xbox Series X [Xbox Series X],11,0.09090909090909091,True,0,0,1,0.010101010101010102,1,4.08,4.08,4.08,0,1,0,,0,,0,0,4.08,4.08,0.001818181818181818181818181818,0,4.08
