order_id,sku,asin,fnsku,title,is_video_game,system,classification_source,original_condition,current_sku_condition,sale_date,return_date,quantity,sold_line_quantity,lpn,fulfillment_center,raw_disposition,raw_reason,raw_status,economic_outcome,case_id,unit_cost,cost_source,sale_price_per_unit,original_revenue_line,customer_refund_line,gross_fees_per_returned_unit,fee_credits_per_returned_unit,original_fba_fee_per_returned_unit,original_referral_fee_per_returned_unit,fba_fee_credit_per_returned_unit,referral_fee_credit_per_returned_unit,refund_admin_fee_per_returned_unit,return_processing_fee_per_returned_unit,removal_fee_per_returned_unit,net_transaction_cost,reimbursement,reimbursement_ids,reimbursement_inventory_units,known_recovery_value,known_impairment,known_loss_excluding_unknown_impairment,zero_recovery_loss_known_basis,reconciliation_status,cohort_in_period,return_in_period,bucket,currently_sellable_evidence,currently_unsellable_evidence,downstream_state,candidate_removal_ids_not_unit_links,candidate_removal_rows,downstream_case_state,downstream_case_decision
112-6899953-8032217,1068329410,B07HFMJ4R5,X004JJ78EP,Minecraft: Starter Collection - Xbox One [Xbox One],True,Xbox One,Title/platform heuristic,,11,2026-04-14,2026-05-22,1,1,LPNO539308155,PHX6,SELLABLE,UNWANTED_ITEM,Unit returned to inventory,sellable,,23.49,inventorylab_legacy,55.00,55.0,55.0,15.51,10.05,3.81,8.25,0,8.25,1.65,0,0,5.46,0,,0,,0,5.46,5.46,posted_fees_reconciled,True,True,A. Sellable,True,False,No linked downstream evidence,,0,,
113-9957559-9165815,1033469061,B07VWCR94W,X002IZJMP5,WWE 2K20 - PlayStation 4 [PlayStation 4],True,PlayStation 4,Title/platform heuristic,,11,2026-04-16,2026-05-21,1,1,LPNO570922189,IND8,SELLABLE,UNWANTED_ITEM,Unit returned to inventory,sellable,,16.19,inventorylab_legacy,34.76,34.76,34.76,11.59,7.01,3.54,5.21,0,5.21,1.04,0,0,4.58,0,,0,,0,4.58,4.58,posted_fees_reconciled,True,True,A. Sellable,True,False,No linked downstream evidence,,0,,
112-3676715-8150634,1048894668,B01AC3ZD06,X0037THN4N,Nintendo Selects: Super Mario 3D World - Wii U Standard Edition [Nintendo Wii U],True,Nintendo Wii U,Title/platform heuristic,,11,2026-03-18,2026-05-18,1,1,LPNND644HWLCG,LEX1,SELLABLE,NOT_COMPATIBLE,Unit returned to inventory,sellable,,15.71,mbop_fifo,49.92,49.92,49.92,14.21,9.29,3.42,7.49,0,7.49,1.5,0,0,4.92,0,,0,,0,4.92,4.92,posted_fees_reconciled,True,True,A. Sellable,True,False,No linked downstream evidence,,0,,
111-0331002-9081035,1071133179,B0794QSXP5,X00506QXE7,Dragon Ball Fighterz - Xbox One [Xbox One],True,Xbox One,Title/platform heuristic,,11,2026-05-08,2026-05-16,1,1,LPNO546184010,PHX6,SELLABLE,ORDERED_WRONG_ITEM,Unit returned to inventory,sellable,,21.38,inventorylab_legacy,44.92,44.92,44.92,13.43,8.54,3.54,6.74,0,6.74,1.35,0,0,4.89,0,,0,,0,4.89,4.89,posted_fees_reconciled,True,True,A. Sellable,True,False,No linked downstream evidence,,0,,
114-7622178-5811461,1045507690,B07DJY4FRP,X0032R0N4R,Gears 5: Standard Edition - Xbox One [Xbox One],True,Xbox One,Title/platform heuristic,,11,2026-05-01,2026-05-15,1,1,LPNND65V95PQQ,LEX1,SELLABLE,NOT_AS_DESCRIBED,Unit returned to inventory,sellable,,19.35,inventorylab_legacy,37.15,37.15,37.15,12.02,7.37,3.54,5.57,0,5.57,1.11,0,0,4.65,0,,0,,0,4.65,4.65,posted_fees_reconciled,True,True,A. Sellable,True,False,No linked downstream evidence,,0,,
113-1117110-7828247,1064185632,B08X8NTNYY,X00470PJQP,Tony Hawk Pro Skater 1+2 - Xbox Series X Standard Edition [Xbox Series X],True,Xbox Series X,Title/platform heuristic,,11,2026-04-04,2026-05-14,1,1,LPNO545275016,PHX6,CUSTOMER_DAMAGED,NOT_COMPATIBLE,Unit returned to inventory,unsellable_recovery_unknown,25ba6152-6a40-46a0-ad3a-e72b9c390fae,16.44,inventorylab_legacy,41.78,41.78,41.78,12.74,8.07,3.42,6.27,0,6.27,1.25,0,0,4.67,0,,0,,,4.67,21.11,posted_fees_reconciled,True,True,B. Unsellable / unfulfillable,False,True,"Inspected; awaiting eBay listing, proceeds unknown",gHwW89yiR8,1,ready_for_ebay_listing,sell_on_ebay
113-9347250-2231463,1028571825,B003ZHMMEM,X002AKI3GR,Donkey Kong Country Returns [Nintendo Wii],True,Nintendo Wii,Title/platform heuristic,,11,2026-05-03,2026-05-13,1,1,LPNNE6BNQJYGG,CHA1,SELLABLE,NOT_AS_DESCRIBED,Unit returned to inventory,sellable,,,missing,42.94,42.94,42.94,13.10,8.24,3.57,6.44,0,6.44,1.29,0,0,4.86,0,,0,,0,4.86,4.86,posted_fees_reconciled,True,True,A. Sellable,True,False,No linked downstream evidence,,0,,
114-0758267-0675429,1029788236,B07D8KQJ8J,X002CLQE33,Battlefield V Deluxe Edition - PlayStation 4 [PlayStation 4],True,PlayStation 4,Title/platform heuristic,,11,2026-04-26,2026-05-13,1,1,LPNO536397859,IND8,CUSTOMER_DAMAGED,DAMAGED_BY_FC,Unit returned to inventory,unsellable_recovery_unknown,,17.39,inventorylab_legacy,54.82,54.82,54.82,15.47,10.02,3.81,8.22,0,8.22,1.64,0,0,5.45,0,,0,,,5.45,22.84,posted_fees_reconciled,True,True,B. Unsellable / unfulfillable,False,True,No linked downstream evidence,gHwW89yiR8,1,,
114-0758267-0675429,1037517086,B00MU1YEZY,X002Q1LJGV,Call of Duty: Advanced Warfare - PlayStation 4 [PlayStation 4],True,PlayStation 4,Title/platform heuristic,,11,2026-04-26,2026-05-12,1,1,LPNO536397845,IND8,CUSTOMER_DAMAGED,DAMAGED_BY_FC,Unit returned to inventory,inspected_sellable,9abcd917-89b5-4a5f-9514-ec3429ceb50d,17.15,inventorylab_legacy,36.87,36.87,36.87,11.98,7.33,3.54,5.53,0,5.53,1.11,0,0,4.65,0,,0,,0,4.65,4.65,posted_fees_reconciled,True,True,A. Sellable,True,False,Inspected New; routed back to FBA,gHwW89yiR8,1,closed,send_back_to_amazon
111-4350586-4838659,1045507690,B07DJY4FRP,X0032R0N4R,Gears 5: Standard Edition - Xbox One [Xbox One],True,Xbox One,Title/platform heuristic,,11,2026-04-08,2026-05-12,1,1,,LGB3,SELLABLE,UNDELIVERABLE_UNKNOWN,Unit returned to inventory,sellable,,19.35,inventorylab_legacy,38.75,38.75,38.75,12.19,7.61,3.42,5.81,0,5.81,1.16,0,0,4.58,0,,0,,0,4.58,4.58,posted_fees_reconciled,True,True,A. Sellable,True,False,No linked downstream evidence,,0,,
