order_id,sku,asin,fnsku,title,is_video_game,system,classification_source,original_condition,current_sku_condition,sale_date,return_date,quantity,sold_line_quantity,lpn,fulfillment_center,raw_disposition,raw_reason,raw_status,economic_outcome,case_id,unit_cost,cost_source,sale_price_per_unit,original_revenue_line,customer_refund_line,gross_fees_per_returned_unit,fee_credits_per_returned_unit,original_fba_fee_per_returned_unit,original_referral_fee_per_returned_unit,fba_fee_credit_per_returned_unit,referral_fee_credit_per_returned_unit,refund_admin_fee_per_returned_unit,return_processing_fee_per_returned_unit,removal_fee_per_returned_unit,net_transaction_cost,reimbursement,reimbursement_ids,reimbursement_inventory_units,known_recovery_value,known_impairment,known_loss_excluding_unknown_impairment,zero_recovery_loss_known_basis,reconciliation_status,cohort_in_period,return_in_period
113-7938203-1598668,1068329410,B07HFMJ4R5,X004JJ78EP,Minecraft: Starter Collection - Xbox One [Xbox One],True,Xbox One,Title/platform heuristic,,11,2025-10-13,2025-11-23,1,1,LPNAC752146858,PGA1,SELLABLE,ORDERED_WRONG_ITEM,Unit returned to inventory,sellable,,23.49,inventorylab_legacy,39.50,39.5,39.5,12.26,7.73,3.34,5.93,0,5.93,1.19,0,0,4.53,0,,0,,0,4.53,4.53,posted_fees_reconciled,True,True
113-8318160-5104263,1065749622,B0BPYW4DDB,X004BKV82F,Rustic Pistol Table Lamp - Realistic Novelty Outdoor Lamp - Tabletop Lantern w/ Brushed Black Finish & Gold Detailing - Gun Decorations for Man Cave - Outdoor Torches for Desk Accessories and Decor,False,Unclassified,No reliable game match,,11,2025-11-06,2025-11-20,1,1,LPNNH5HTQ1Z94,CHA1,DEFECTIVE,DEFECTIVE,Unit returned to inventory,unsellable_recovery_unknown,,,missing,39.73,39.73,39.73,14.93,5.96,7.78,5.96,0,5.96,1.19,0,0,8.97,0,,0,,,8.97,,posted_fees_reconciled,True,True
112-4684184-7172250,1041418871,B07DDD9CPN,X002WHVZKT,Just Dance 2019 - Wii Standard Edition [Nintendo Wii],True,Nintendo Wii,Title/platform heuristic,,11,2025-11-06,2025-11-19,1,1,LPNNH5BRDLJMB,LEX1,SELLABLE,UNWANTED_ITEM,Unit returned to inventory,sellable,,27.80,inventorylab_legacy,49.69,49.69,49.69,14.08,9.25,3.34,7.45,0,7.45,1.49,0,0,4.83,0,,0,,0,4.83,4.83,posted_fees_reconciled,True,True
111-1861375-3671433,1058392679,B01N03NM02,X003UAD6P9,"Harmony Good Dog Ceramic Dog Bowl, 1 Cup",False,Unclassified,No reliable game match,,11,2025-10-28,2025-11-15,1,1,LPNPMFA3513870,LAS2,CUSTOMER_DAMAGED,ORDERED_WRONG_ITEM,Unit returned to inventory,unsellable_recovery_unknown,,5.99,inventorylab_legacy,19.79,19.79,19.79,8.40,2.97,4.84,2.97,0,2.97,0.59,0,0,5.43,0,,0,,,5.43,11.42,posted_fees_reconciled,True,True
114-8751617-8333844,1051249032,B01N1GRUUC,X003BJR6E1,"Harmony Good Dog Ceramic Dog Bowl, 6 Cups",False,Unclassified,No reliable game match,,11,2025-10-22,2025-11-12,1,1,LPNNI55KW1THW,MEM3,SELLABLE,UNWANTED_ITEM,Unit returned to inventory,sellable,,10.99,inventorylab_legacy,34.13,34.13,34.13,13.17,5.12,7.03,5.12,0,5.12,1.02,0,0,8.05,0,,0,,0,8.05,8.05,posted_fees_reconciled,True,True
111-3653818-4585827,1058392679,B01N03NM02,X003UAD6P9,"Harmony Good Dog Ceramic Dog Bowl, 1 Cup",False,Unclassified,No reliable game match,,11,2025-10-04,2025-11-11,1,1,LPNPMFD5090647,LAS2,SELLABLE,FOUND_BETTER_PRICE,Unit returned to inventory,sellable,,5.99,inventorylab_legacy,24.26,24.26,24.26,10.14,3.64,5.77,3.64,0,3.64,0.73,0,0,6.50,0,,0,,0,6.50,6.50,posted_fees_reconciled,True,True
114-6711696-3537036,1070280052,B07RP42TMG,X004UTCLLJ,Tom Clancy's Ghost Recon Breakpoint - Xbox One [Xbox One],True,Xbox One,Title/platform heuristic,,11,2025-10-23,2025-11-06,1,1,LPNO439782722,IND8,SELLABLE,ORDERED_WRONG_ITEM,Unit returned to inventory,sellable,,,missing,21.38,21.38,21.38,8.99,5.01,3.34,3.21,0,3.21,0.64,0,0,3.98,0,,0,,0,3.98,3.98,posted_fees_reconciled,True,True
114-8758235-2013009,1063162591,B0B9XFCXSG,X0044NDE7V,Taos Footwear Women's Captain Brown Boot 11-11.5 (M) US,False,Unclassified,No reliable game match,,NewItem,2025-10-05,2025-11-05,1,1,LPNNH5H55PBFM,LUK7,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,sellable,,,missing,139.99,139.99,139.99,32.6,21.0,7.4,21.0,0,21.0,4.2,0,0,11.6,0,,0,,0,11.6,11.6,posted_fees_reconciled,True,True
112-3508337-8538620,1063375943,B00FM5IY4W,X00452YF3X,Forza Motorsport 5 [Xbox One],True,Xbox One,Title/platform heuristic,,11,2025-10-08,2025-11-01,1,1,LPNO441209939,IND8,SELLABLE,ORDERED_WRONG_ITEM,Unit returned to inventory,sellable,,,missing,54.95,54.95,54.95,14.75,10.04,3.06,8.24,0,8.24,1.65,0,0,4.71,0,,0,,0,4.71,4.71,posted_fees_reconciled,True,True
114-8500356-2388244,1051249032,B01N1GRUUC,X003BJR6E1,"Harmony Good Dog Ceramic Dog Bowl, 6 Cups",False,Unclassified,No reliable game match,,11,2025-10-17,2025-11-01,1,1,LPNPMEV4788650,HOU3,CUSTOMER_DAMAGED,APPAREL_TOO_LARGE,Unit returned to inventory,unsellable_recovery_unknown,,10.99,inventorylab_legacy,33.65,33.65,33.65,13.09,5.05,7.03,5.05,0,5.05,1.01,0,0,8.04,0,,0,,,8.04,19.03,posted_fees_reconciled,True,True
