days,inventory_weighted_history,calendar_season_min,calendar_season_max
30,0.01509575453403244018620298808,0.01058287586344575081361046339,0.03122351710872605618574059704
60,0.03019150906806488037240597616,0.02116575172689150162722092678,0.06244703421745211237148119411
90,0.04528726360209732055860896427,0.03174862759033725244083139016,0.09367055132617816855722179115
180,0.09057452720419464111721792852,0.06349725518067450488166278036,0.1267952216662007746895285236
365,0.1836650134973946889321363550,0.1920562894907829047067930478,0.1920562894907829047067930478
