asin,age_tier,cost,unit_assessments,months
B01M2UALEJ,301-330,0.06,1,1
B071JCYKK4,301-330,0.06,1,1
B01AC3ZD06,181-210,0.06,9,1
B01M2UALEJ,331-365,0.06,1,1
B00KTNU40E,241-270,0.06,3,2
B01J4PHT3C,241-270,0.06,3,1
B01JYW2EXA,271-300,0.06,1,1
B075QLXC7C,271-300,0.06,1,1
B01JYW2EXA,301-330,0.06,1,1
B00KTNU40E,301-330,0.06,1,1
B071G5JJDW,241-270,0.05,3,2
B08XY46X8V,211-240,0.05,5,1
B09RRHYD97,181-210,0.04,4,2
B08NMQNSX3,241-270,0.04,2,1
B08PCN2Y3G,181-210,0.04,4,2
B0BSNX28Y4,181-210,0.04,5,1
B08PCN2Y3G,211-240,0.04,2,1
B0BSNX28Y4,211-240,0.04,4,1
B00XWQZPQ8,241-270,0.04,2,2
B08GR4GNRK,241-270,0.04,2,2
B07B9XCN31,271-300,0.04,1,1
B00CX6XKK6,181-210,0.04,5,3
B0BP5CKT2F,241-270,0.04,2,1
B00CX6XKK6,241-270,0.04,2,1
B0026FCARI,181-210,0.04,6,3
B00BSELY9I,211-240,0.04,4,1
B0026FCARI,211-240,0.04,3,2
B0058SHNF4,211-240,0.04,4,1
B0000C0YW2,211-240,0.04,1,1
B09NZBP951,211-240,0.04,3,1
B0026FCARI,241-270,0.04,2,1
B07XGW61PX,181-210,0.03,5,2
B096WVGQMJ,241-270,0.03,2,1
B096WVGQMJ,181-210,0.03,4,1
B003OZZJGS,211-240,0.03,3,2
B075MSL3BV,211-240,0.03,3,2
B0BSJZQK5L,211-240,0.03,3,2
B0009WPZPY,211-240,0.03,3,1
B0BRNY8987,241-270,0.03,2,1
B08J4P22MF,241-270,0.03,2,1
B00CX6XKK6,211-240,0.03,3,1
B00KTNU40E,181-210,0.03,4,2
B0748VH8ZF,211-240,0.03,2,1
B01J4PHT3C,211-240,0.03,3,1
B00BSELY9I,181-210,0.03,4,1
B08XY46X8V,181-210,0.03,5,1
B0030GBU2I,181-210,0.03,5,1
B000FII8KQ,211-240,0.03,2,1
B001OC6D9U,181-210,0.03,3,1
B003VJO0OY,211-240,0.03,2,1
B00BMRR666,211-240,0.03,2,1
B000930DQ4,241-270,0.03,1,1
B098V87FNX,211-240,0.03,2,1
B017W16ZNA,211-240,0.03,4,1
B001CLG6RM,181-210,0.03,3,1
