Title,MSKU,Fulfillment,Inbound Qty,On Hand,Unlisted Qty,Cost/Unit,Total Value
Just Dance 2015 - Xbox One,1068811461,FBA,0,3,0,11.16,33.47
Madden NFL 17 - Standard Edition - PlayStation 4,1063376545,FBA,0,3,0,15.08,45.24
Assassin's Creed IV Black Flag - PC,1070891237,FBA,0,3,0,18.94,56.82
Balan Wonderworld - Nintendo Switch,1071283725,FBA,0,3,0,11.96,35.89
Dragon Ball Fighterz - Xbox One,1071133179,FBA,0,3,0,21.38,64.13
Just Dance 2014 - Xbox 360,1035888642,FBA,0,3,0,13.99,41.97
ICE AGE: Scrat's Nutty Adventure - Xbox One,1071453895,FBA,0,3,0,19.99,59.97
Monsters vs. Aliens - PlayStation 2,1071047156,FBA,0,3,0,14.55,43.65
Pac-Man Party - Nintendo Wii,1041266555,FBA,0,3,0,24.36,73.08
TrackMania Turbo - Xbox One,1063375686,FBA,0,3,0,10.42,31.27
Paw Patrol The Movie Adventure City Calls - PlayStation 4,1071047168,FBA,0,3,0,14.38,43.15
Transformers: Revenge of the Fallen - PC,1070891244,FBA,0,3,0,29.56,88.68
"Harmony Good Dog Ceramic Dog Bowl, 6 Cups",1051249032,FBA,0,3,0,10.99,32.97
Gears 5: Standard Edition – Xbox One,1045507690,FBA,0,3,0,19.35,58.06
Yakuza 0 - PlayStation Hits - PlayStation 4,1070280032,FBA,0,3,0,16.99,50.97
"Anno 1800 - Standard Edition, PlayStation 5",1069286287,FBA,0,3,0,16.04,48.13
WWE 2K16 - Xbox 360,1071283742,FBA,0,3,0,24.41,73.23
Five Nights at Freddy's: Security Breach (PS4),1071283718,FBA,0,3,0,16.20,48.60
The Last Kids On Earth and the Staff of Doom - PlayStation 4,1055009413,FBA,0,3,0,15.02,45.06
Cloudy with a Chance of Meatballs - Sony PSP,1070891174,FBA,0,3,0,19.83,59.48
Assassin's Creed IV: Black Flag (Xbox 360),1070891195,FBA,0,2,0,20.68,41.36
Wipeout 3 - Nintendo Wii,1071047180,FBA,0,2,0,14.13,28.26
A Plague Tale: Innocence (PS4) - PlayStation 4,1071047161,FBA,0,2,0,22.68,45.36
Star Wars Jedi: Survivor Deluxe - Xbox Series X,1069890475,FBA,0,2,0,18.00,36.00
Just Dance 2018 - PlayStation 4,1039659165,FBA,0,2,0,15.97,31.94
Cabela's Hunting Expeditions - Nintendo Wii,1071047178,FBA,0,2,0,13.37,26.74
NBA 2K20 Nintendo Switch,1042456740,FBA,0,2,0,15.07,30.14
Need for Speed - Xbox One,1068811431,FBA,0,2,0,12.42,24.84
Tony Hawk's Proving Ground - PlayStation 2,1070891236,FBA,0,2,0,14.99,29.98
Teenage Mutant Ninja Turtles - Nintendo Wii,1023420581,FBA,0,2,0,19.88,39.75
ARK: Survival Evolved - Xbox One,1047886637,FBA,0,2,0,17.50,34.99
Shrek The Third - Sony PSP,1071283724,FBA,0,2,0,22.12,44.24
PAC-MAN World Re-PAC - PlayStation 4,1070280031,FBA,0,2,0,14.92,29.83
Family Feud: 2010 Edition,1071283732,FBA,0,2,0,16.24,32.47
Tom Clancy's The Division - PC,1070891243,FBA,0,2,0,15.99,31.98
Harry Potter and the Goblet of Fire - PlayStation 2,1070625051,FBA,0,2,0,16.96,33.92
Shrek Forever After - Nintendo Wii,1071517330,FBA,0,2,0,11.59,23.18
Nintendo Land,1036663415,FBA,0,2,0,19.34,38.68
Toy Soldiers: War Chest Hall of Fame Edition - Xbox One Standard Edition,1071133154,FBA,0,2,0,19.74,39.49
DEATHLOOP Standard Edition - PlayStation 5,1056263472,FBA,0,2,0,14.29,28.58
NCAA Football 09 - PlayStation 2,1071517326,FBA,0,2,0,19.99,39.98
Kinect Sports: Rivals - Xbox One,1071283750,FBA,0,2,0,18.68,37.35
Nickelodeon Kart Racers 3: Slime Speedway - PlayStation 4,1071517348,FBA,0,2,0,13.50,27.00
Nintendo Spongebob Squarepants: Battle for Bikini Bottom - Rehydrated (PS4) - Nintendo Switch,1071453882,FBA,0,2,0,16.20,32.40
Power Rangers: Battle for the Grid Collector's Edition (XB1) - Xbox One,1071047190,FBA,0,2,0,12.74,25.48
Monster Harvest - Nintendo Switch Standard Edition,1071133148,FBA,0,2,0,16.94,33.88
Trivial Pursuit - Nintendo Wii,1071290895,FBA,0,2,0,11.04,22.07
Vampire: The Masquerade - Swansong (PS4),1071453884,FBA,0,2,0,10.65,21.30
Minecraft Dungeons: Hero Edition – Xbox Series X & Xbox One,1057774272,FBA,0,2,0,18.25,36.50
Country Dance 2 - Nintendo Wii,1W-X1O9-BCAM,FBA,0,2,0,14.51,29.02
Crash Bandicoot N. Sane Trilogy - PC Standard Edition,1071047149,FBA,0,2,0,14.50,29.00
Race with Ryan - Nintendo Switch,1052397580,FBA,0,2,0,11.00,22.00
Just Dance 2016 - PlayStation 4,1071283719,FBA,0,2,0,19.28,38.57
Medal of Honor Warfighter - Xbox 360,1042137741,FBA,0,2,0,14.47,28.94
Wipeout 2 - Nintendo Wii,1071283737,FBA,0,2,0,10.88,21.77
Assassin’s Creed Syndicate - Xbox One,1068811437,FBA,0,2,0,12.50,25.00
Call of Duty: Black Ops III - Multiplayer Edition - PlayStation 3,1071379574,FBA,0,2,0,20.30,40.61
Darksiders II,1070891201,FBA,0,2,0,32.74,65.48
Rapala Pro Bass Fishing 2010 - PlayStation 2,1070891179,FBA,0,2,0,17.13,34.26
Call of Duty: Black Ops Cold War (PS5),1066662845,FBA,0,2,0,35.46,70.91
Lord of the Rings: War in the North - Xbox 360,1071379600,FBA,0,2,0,31.15,62.30
Sonic Free Riders - Xbox 360,V0-WD35-QK7L,FBA,0,2,0,15.50,31.00
Assassin's Creed Valhalla - PlayStation 5,1069286292,FBA,0,2,0,13.66,27.32
Dance Central 2 - Xbox 360,DL-GWVW-9XVQ,FBA,0,2,0,11.76,23.52
Cabela's African Adventures - Xbox 360,HM-A463-08AB,FBA,0,2,0,27.96,55.92
World War Z - PlayStation 4,1059738979,FBA,0,2,0,15.00,29.99
The Witcher 3: Wild Hunt Complete Edition - Xbox Series X,1069288408,FBA,0,2,0,21.00,42.00
Shrek Forever After - Xbox 360,1071283741,FBA,0,2,0,36.00,72.00
Minecraft Legends - Deluxe Edition PlayStation 4,1071133142,FBA,0,2,0,19.00,38.00
Body Glove DITA Triangle Slider Bikini Top Swimsuit,1060807369,FBA,0,2,0,7.50,15.00
Switch Title 3 -,1065946902,FBA,0,1,0,25.02,25.02
Sniper: Ghost Warrior - PC,1071047152,FBA,0,1,0,29.99,29.99
LEGO DC Super-Villains Deluxe Edition - Xbox One,1071379602,FBA,0,1,0,37.31,37.31
Zumba Fitness Core (Street 10/16),1037516891,FBA,0,1,0,9.49,9.49
Left 4 Dead 2,1071283704,FBA,0,1,0,26.77,26.77
Cabela's African Adventures - PlayStation 3,1070891226,FBA,0,1,0,23.24,23.24
"Chevrolet 20"" Genuine Distressed Vintage Style Bowtie Chevy Red White and Blue American Flag Oval Metal Embossed Sign",1031051620,FBA,0,1,0,12.99,12.99
FIFA 21 Champions Edition - PlayStation 4,1040614930,FBA,0,1,0,12.99,12.99
Wolfenstein: The New Order - PlayStation 4,RI-PBEM-71IY,FBA,0,1,0,25.32,25.32
Forza Motorsport 6 – Xbox One,1048894444,FBA,0,1,0,31.86,31.86
Just Dance 2014 - Nintendo Wii U,1043651640,FBA,0,1,0,12.99,12.99
Anthem: Legion of Dawn Edition - Xbox One,1038682427,FBA,0,1,0,18.75,18.75
Hitman: Absolution (Professional Edition) -Xbox 360,1024534207,FBA,0,1,0,29.65,29.65
FIFA 18 Legacy Edition (PS3),1071283713,FBA,0,1,0,33.75,33.75
LEGO Jurassic World - Xbox 360 Standard Edition,1042711537,FBA,0,1,0,24.62,24.62
Tiger Woods PGA Tour 2006 - PC,1071283707,FBA,0,1,0,16.86,16.86
Final Fantasy XV - Xbox One,1068329375,FBA,0,1,0,13.70,13.70
Team Sonic Racing - PlayStation 4,1069890497,FBA,0,1,0,22.39,22.39
Monster Energy Supercross 4 - PlayStation 5,1068866834,FBA,0,1,0,13.99,13.99
Agatha Christie: Hercule Poirot - The London Case (PS4),1071047163,FBA,0,1,0,20.00,20.00
Hitman 2 - PlayStation 4,1068811425,FBA,0,1,0,19.72,19.72
AC/DC Live: Rock Band Track Pack - Playstation 3,1071453876,FBA,0,1,0,20.00,20.00
DEAL OR NO DEAL WII,1034679220,FBA,0,1,0,10.50,10.50
Rock Band: Country Track Pack,1070891234,FBA,0,1,0,22.91,22.91
Tomb Raider,1071517331,FBA,0,1,0,16.62,16.62
Bakugan Battle Brawlers: Defenders of the Core - Playstation 3,1071283711,FBA,0,1,0,19.75,19.75
Farming Simulator - Xbox 360,1070891196,FBA,0,1,0,26.99,26.99
Middle-Earth: Shadow Of War Gold Edition - Xbox One,1032601832,FBA,0,1,0,22.45,22.45
EA Sports 2014 FIFA World Cup Brazil - PlayStation 3,1070891227,FBA,0,1,0,17.47,17.47
Gears of War: Ultimate Edition – Xbox One,1070280049,FBA,0,1,0,18.99,18.99
Miitopia - Nintendo 3DS,MF-WPSG-EN2O,FBA,0,1,0,27.95,27.95
Ultimate Board Game Collection - Nintendo Wii,1071379598,FBA,0,1,0,10.74,10.74
Maximum Games - Afterimage: Deluxe Edition (PS4),1071047162,FBA,0,1,0,21.77,21.77
NBA LIVE 18: The One Edition - PlayStation 4,1071379581,FBA,0,1,0,16.77,16.77
MX vs ATV All Out - Xbox One,1058202955,FBA,0,1,0,18.52,18.52
Resident Evil 7 biohazard - PlayStation 4 Standard Edition,1070625056,FBA,0,1,0,16.94,16.94
Assassin's Creed Revelations - PC,1071047148,FBA,0,1,0,13.15,13.15
Hitman: Absolution - Playstation 3,1071379575,FBA,0,1,0,15.00,15.00
Star Wars Jedi: Fallen Order - Xbox One,1063375781,FBA,0,1,0,13.77,13.77
Sonic Colors Ultimate: Launch Edition - Xbox Series X,1071453896,FBA,0,1,0,16.16,16.16
